file,total_background_rate,solar_elevation,classification,solar_background_rate
processed_ATL03_20200711020519_02400806_006_01.h5,37795.75206357141,-18.332053259394385,Nighttime,0.0
processed_ATL03_20200712134930_02630802_006_01.h5,2751507.4577635746,47.60112804428408,Daytime,3265520.353254656
processed_ATL03_20200715015701_03010806_006_01.h5,177058.97577769912,-17.245845284873063,Nighttime,0.0
processed_ATL03_20200716134112_03240802_006_01.h5,4225216.975207497,44.99416261486278,Daytime,3092994.3084492055
processed_ATL03_20200719014842_03620806_006_01.h5,84038.4457408923,-16.165504271212004,Nighttime,0.0
processed_ATL03_20200720133252_03850802_006_01.h5,1086128.2890839668,42.32534367015925,Daytime,2925990.783412471
processed_ATL03_20200723014022_04230806_006_01.h5,79140.35345762987,-15.127771424350552,Nighttime,0.0
processed_ATL03_20200724132432_04460802_006_01.h5,3827796.7701561344,39.720189704580584,Daytime,2771845.5833431105
processed_ATL03_20200727013202_04840806_006_01.h5,62161.319765603504,-14.107249783170584,Nighttime,0.0
processed_ATL03_20200728131612_05070802_006_01.h5,1088091.083936827,36.889148079226366,Daytime,2613721.4970187624
processed_ATL03_20200801130752_05680802_006_01.h5,4673920.943899507,34.1490156007712,Daytime,2469462.715856148
processed_ATL03_20200809004122_06820806_006_01.h5,179494.59699320886,-10.638800908295066,Nighttime,0.0
processed_ATL03_20200810122532_07050802_006_01.h5,1068897.9927847406,27.84727919411428,Daytime,2167870.314943968
processed_ATL03_20200813003303_07430806_006_01.h5,42490.099909907636,-9.501473152301626,Nighttime,0.0
processed_ATL03_20200814121713_07660802_006_01.h5,5752663.929646432,25.0592073406471,Daytime,2046779.8760011417
processed_ATL03_20200817002443_08040806_006_01.h5,16617.049963783167,-8.673657633989055,Nighttime,0.0
processed_ATL03_20200818120853_08270802_006_01.h5,1094279.5481663574,22.218095326033673,Daytime,1930540.7399213663
processed_ATL03_20200821001623_08650806_006_01.h5,88550.37502800443,-7.514235541809514,Nighttime,0.0
processed_ATL03_20200822120034_08880802_006_01.h5,3775479.618464736,19.388708499379472,Daytime,1821542.1003826784
processed_ATL03_20200825000804_09260806_006_01.h5,89446.81397876945,-6.454590820296701,Nighttime,0.0
processed_ATL03_20200826115214_09490802_006_01.h5,872472.4922581951,16.536142382767128,Daytime,1718080.7773801952
processed_ATL03_20200830114354_10100802_006_01.h5,754567.2350125939,13.67799809981165,Daytime,1620512.943928909
processed_ATL03_20200903113534_10710802_006_02.h5,581694.4312176822,10.853443807332303,Daytime,1529735.0857654258
processed_ATL03_20200906231725_11240806_006_02.h5,33649.48062353326,-3.1481845660217744,Twilight,144776.66851293913
processed_ATL03_20200908110135_11470802_006_02.h5,503253.43356873037,7.203728281765667,Daytime,1420215.108060837
processed_ATL03_20200912105316_12080802_006_02.h5,341280.07894445007,4.380522070205796,Twilight,138467.63856118967
processed_ATL03_20200914230046_12460806_006_02.h5,26186.26481486116,-0.9621860267135545,Twilight,151470.7608601518
processed_ATL03_20200916104456_12690802_006_02.h5,125950.94852182808,1.6256601045111767,Twilight,150144.69402303346
processed_ATL03_20200918225226_13070806_006_02.h5,125792.44703489641,0.31131358201008213,Twilight,152119.1293011806
processed_ATL03_20200920103636_13300802_006_02.h5,210471.61413558375,-1.425258747820212,Twilight,150614.29497198254
processed_ATL03_20200922224407_13680806_006_02.h5,172714.08971251204,1.1941339462355751,Twilight,151082.12390992098
processed_ATL03_20200924102817_00040902_006_02.h5,5404.008946849824,-4.534453156049597,Twilight,137583.17476423405
processed_ATL03_20200926223548_00420906_006_02.h5,319256.5753720403,2.0764338337093933,Twilight,148877.46058688662
processed_ATL03_20200928101958_00650902_006_02.h5,42946.540686569366,-7.493123294715595,Nighttime,0.0
processed_ATL03_20201002101131_01260902_006_01.h5,362.1598100051391,-10.500501094674165,Nighttime,0.0
processed_ATL03_20201005215324_01790906_006_01.h5,295125.674828767,4.415555006044275,Twilight,138267.9713919565
processed_ATL03_20201009214506_02400906_006_01.h5,331640.74092138046,5.289189014523632,Twilight,133008.95080971622
processed_ATL03_20201011092916_02630902_006_01.h5,3016.8440006209767,-17.102435897122042,Nighttime,0.0
processed_ATL03_20201013213647_03010906_006_01.h5,974888.7458435383,6.2987469021792695,Daytime,1394346.0891712194
processed_ATL03_20201015092057_03240902_006_01.h5,96992.74215494073,-20.071210913659744,Nighttime,0.0
processed_ATL03_20201017212828_03620906_006_01.h5,379385.6656480939,7.3146814146422745,Daytime,1423421.0499189848
processed_ATL03_20201019091238_03850902_006_01.h5,30239.096275285712,-23.040433986865988,Nighttime,0.0
processed_ATL03_20201021212007_04230906_006_01.h5,539059.9907695217,8.348818287791644,Daytime,1453667.9109723903
processed_ATL03_20201023090418_04460902_006_01.h5,259884.82496922815,-26.032223481266826,Nighttime,0.0
processed_ATL03_20201025211148_04840906_006_01.h5,2574614.756669485,9.36837614095687,Daytime,1484145.3995965777
processed_ATL03_20201027085559_05070902_006_01.h5,469484.5235946693,-29.269784732699847,Nighttime,0.0
processed_ATL03_20201029210331_05450906_006_01.h5,1521040.160322414,9.962021725053399,Daytime,1502197.345648468
processed_ATL03_20201031084740_05680902_006_01.h5,16340.668559343276,-31.71451310202092,Nighttime,0.0
processed_ATL03_20201107202110_06820906_006_01.h5,674488.877680544,12.858877914241898,Daytime,1593624.7953063964
processed_ATL03_20201109080520_07050902_006_01.h5,167326.14826736267,-38.60647640952581,Nighttime,0.0
processed_ATL03_20201111201251_07430906_006_01.h5,1169250.8182872327,14.147239563596255,Daytime,1636128.0126327383
processed_ATL03_20201113075702_07660902_006_01.h5,224.37694479006203,-41.561702853043876,Nighttime,0.0
processed_ATL03_20201115200432_08040906_006_01.h5,1398742.022021409,15.108680614291737,Daytime,1668612.0336912915
processed_ATL03_20201117074843_08270902_006_01.h5,18312.102258590567,-44.48965702690624,Nighttime,0.0
processed_ATL03_20201119195613_08650906_006_01.h5,737208.2543954616,16.10340274771491,Daytime,1702925.5465857992
processed_ATL03_20201121074024_08880902_006_01.h5,28627.621943633458,-47.40913550755529,Nighttime,0.0
processed_ATL03_20201123194754_09260906_006_01.h5,682141.6288944753,17.083277940723377,Daytime,1737442.6729897463
processed_ATL03_20201125073204_09490902_006_01.h5,45514.46755107935,-50.32221010594868,Nighttime,0.0
processed_ATL03_20201127193934_09870906_006_01.h5,2059743.4233440266,18.298593901893994,Daytime,1781262.9064303343
processed_ATL03_20201129072343_10100902_006_01.h5,156814.4450448852,-53.07099330253307,Nighttime,0.0
processed_ATL03_20201206185715_11240906_006_01.h5,4465255.531292323,20.777068463904033,Daytime,1874209.24194811
processed_ATL03_20201208064125_11470902_006_01.h5,36.89948285143027,-59.01391457703154,Nighttime,0.0
processed_ATL03_20201210184856_11850906_006_01.h5,1565148.2148421055,21.865176377134688,Daytime,1916584.987327542
processed_ATL03_20201212063308_12080902_006_01.h5,31776.705634769776,-61.83763375374974,Nighttime,0.0
processed_ATL03_20201214184038_12460906_006_01.h5,6440840.810459436,22.93182274132584,Daytime,1959085.7276236292
processed_ATL03_20201216062448_12690902_006_01.h5,7292.979228897971,-64.54162620939094,Nighttime,0.0
processed_ATL03_20201218183218_13070906_006_01.h5,2698236.5121689388,23.989010371281957,Daytime,2002169.7726469506
processed_ATL03_20201220061628_13300902_006_01.h5,10407.229098666925,-66.92680416509755,Nighttime,0.0
processed_ATL03_20201222182358_13680906_006_01.h5,3179819.8703778996,25.082950329887492,Daytime,2047781.1142433893
processed_ATL03_20201226181538_00421006_006_01.h5,947034.319638348,26.143279988765048,Daytime,2093013.3941425597
processed_ATL03_20201228055948_00651002_006_01.h5,41673.45850649981,-70.68798426405911,Nighttime,0.0
