ID_float,dt_float,lat_float,lon_float,kd_380_Xing,kd_412_Xing,kd_490_Xing,PAR_0,zpd_PAR,kd_PAR,kd_490_it,kd_412_it,aot_869,angstrom,Rrs_412,Rrs_443,Rrs_469,Rrs_488,Rrs_531,Rrs_547,Rrs_555,Rrs_645,Rrs_667,Rrs_678,chlor_a,Kd_490_Aus,sat_dt,weigth,new_kd_Aus,sat_name,a_490,bb_490,nw_490,a_412,bb_412,nw_412,new_kd_490_Lee_indiv,new_kd_412_Lee_indiv,zenith_angle,rrs_412,rrs_490,aot_862,Rrs_410,Rrs_486,Rrs_551,Rrs_671,new_kd_490_Lee_global,new_kd_412_Lee_global,TOTANGSTR_Merra,TOTEXTTAU_Merra,TOTSCATAU_Merra,PS_Merra,lat_Merra,lon_Merra,dt_Merra,tau_mol_490,tau_mol_412,w_490,w_412,a_aer,tau_aer_490,tau_aer_412,t_dir_490,t_dir_412,t_tot_490,t_tot_412,f_490,f_412,D0_490,D0_412,kd_490_f,kd_412_f
6901475,735200.6056,20.52535333,-40.24010667,0.036140663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.076174998,0.671665264,0.01373087,0.010784168,0.008901044,0.007016262,0.002386637,0.00177391,0.001465365,0.000115479,0.000156349,0.000187501,0.046247726,0.024156521,735200.5399,0.005062924,0.022496851,terra,0.018728249,0.002490262,0.557263562,0.016374876,0.00439921,0.648523376,0.025074741,0.023286301,47.3354877,0.024430117,0.012160145,NaN,NaN,NaN,NaN,NaN,0.022939852,0.019462006,0.445221961,0.066658527,0.064751714,101794.1484,20.5,-40,735200.5833,0.153878515,0.315982146,0.9226995,0.854152817,0.666666667,0.051842534,0.046143506,0.738188738,0.586055,0.877036636,0.77666187,0.841685179,0.754581913,1.431467981,1.407203651,0.030373619,0.029233369
6901475,735200.6056,20.52535333,-40.24010667,0.036140663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.135595451,0.284833389,0.013867429,0.010812819,0.009053566,0.006954001,0.002338751,0.001748834,0.001471918,0.000189392,0.000185751,0.000198418,0.044396107,0.023916666,735200.6684,0.005062924,0.022333776,aqua,0.018963589,0.00249828,0.555475083,0.016259543,0.00441045,0.646870643,0.024709211,0.021856269,47.64454853,0.024658653,0.012047096,NaN,NaN,NaN,NaN,NaN,0.023282959,0.019321686,0.445221961,0.066658527,0.064751714,101794.1484,20.5,-40,735200.5833,0.153878515,0.315982146,0.9226995,0.854152817,0.666666667,0.115178607,0.109628682,0.670752075,0.531673877,0.857525213,0.754726776,0.782195165,0.704458744,1.421707835,1.399375834,0.030512507,0.028925089
6901475,735201.609,20.48586667,-40.26638833,0.046916931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.949368221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,735201.6854,0.005062924,NaN,viirs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.83582223,NaN,NaN,0.098272725,NaN,NaN,NaN,NaN,NaN,NaN,0.396198094,0.083954066,0.082061589,101617.4609,20.5,-40,735201.5833,0.153860877,0.315433686,0.933732061,0.871744076,0.666666667,0.057483388,0.048759136,0.715590945,0.561765975,0.867612902,0.762729853,0.824781355,0.73652024,1.515711406,1.48160561,NaN,NaN
6901439,735203.566,-18.62256167,-25.63038,0.023376925,0.016180839,0.019190607,951.9466215,40.77864527,0.024522639,0.019818145,0.01627126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,735203.6479,0.004249804,NaN,viirs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.65179406,NaN,NaN,0.157299996,NaN,NaN,NaN,NaN,NaN,NaN,0.462059677,0.12278939,0.118601516,101666.8047,-18.5,-25.625,735203.5833,0.153865803,0.315586855,0.91569202,0.845194886,0.666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6901473,735205.6257,20.74851699,-39.94873965,0.033816861,0.021434931,NaN,NaN,NaN,NaN,NaN,0.022235857,NaN,2.008840489,NaN,0.012214369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.033774032,0.025009523,735205.6313,0.005062924,0.022316804,viirs,0.020116301,0.002951894,0.478340233,0.016464903,0.005075161,0.574032594,0.023127986,0.017920074,43.87847115,0.027881272,0.013427434,0.021451351,0.01577318,0.007740948,0.001860001,0.000116601,0.024428671,0.019164632,0.31883052,0.074208155,0.072545245,101359.9844,20.5,-40,735205.625,0.153835175,0.314634445,0.942242462,0.891569279,0.666666667,0.006897054,0.004868556,0.800124573,0.6419438,0.896941191,0.802529917,0.892059123,0.799900148,1.3667812,1.349241039,0.031529176,0.029062737
6901473,735205.6257,20.74851699,-39.94873965,0.033816861,0.021434931,NaN,NaN,NaN,NaN,NaN,0.022235857,0.036277272,1.978076013,0.015942401,0.012036321,0.009678401,0.007447201,0.002410561,0.001804481,0.001459761,0.000140834,0.000169131,0.00019174,0.033182823,0.022849999,735205.6823,0.005062924,0.021667699,aqua,0.017544939,0.002455101,0.565244563,0.013986496,0.004350229,0.655825376,0.023073997,0.018770336,50.92278504,0.028121767,0.012801233,NaN,NaN,NaN,NaN,NaN,0.021677699,0.016349505,0.31883052,0.074208155,0.072545245,101359.9844,20.5,-40,735205.625,0.153835175,0.314634445,0.942242462,0.891569279,0.666666667,0.011679989,0.008288874,0.769072939,0.599129112,0.881614616,0.776511256,0.872345949,0.771565264,1.536671533,1.497429842,0.030733492,0.027457959
6901439,735207.566,-18.67676333,-25.64523,0.023424575,0.017212683,0.020800719,1443.657524,23.29761598,0.042922847,0.019697945,0.016233933,0.025321738,1.445412527,0.018240436,0.014148175,0.010985841,0.008071521,0.002461715,0.001806697,0.001512349,0.000151668,0.000167668,0.000168001,0.018954346,0.021043478,735207.4844,0.004249804,0.02036332,terra,0.016630658,0.002487425,0.557899229,0.012387633,0.004395735,0.64903599,0.02083156,0.017186081,27.22799538,0.031850329,0.013687217,NaN,NaN,NaN,NaN,NaN,0.018462197,0.012569635,0.621656537,0.069527239,0.065790705,101940.5313,-18.5,-25.625,735207.5833,0.153893127,0.316436537,0.880690195,0.790702533,0.666666667,0.011062178,0.008609991,0.830679477,0.693813344,0.914072262,0.834237323,0.908767842,0.831673823,1.131219146,1.136799571,0.021626741,0.019079326
6901439,735207.566,-18.67676333,-25.64523,0.023424575,0.017212683,0.020800719,1443.657524,23.29761598,0.042922847,0.019697945,0.016233933,0.03070909,1.432576027,0.019581044,0.014872274,0.011216349,0.008188001,0.002472001,0.001791501,0.001452251,0.000205637,0.000174546,0.000167044,0.01539542,0.020466666,735207.6684,0.004249804,0.020146111,aqua,0.015799884,0.002381737,0.582655629,0.011160023,0.004247509,0.671685494,0.019422975,0.013690649,35.0982315,0.033997054,0.013795172,NaN,NaN,NaN,NaN,NaN,0.018080622,0.011457601,0.621656537,0.069527239,0.065790705,101940.5313,-18.5,-25.625,735207.5833,0.153893127,0.316436537,0.880690195,0.790702533,0.666666667,0.013514752,0.010542333,0.814962467,0.670556139,0.906247497,0.820553464,0.899271412,0.817199815,1.219700905,1.217629117,0.02217614,0.01876066
6901439,735207.566,-18.67676333,-25.64523,0.023424575,0.017212683,0.020800719,1443.657524,23.29761598,0.042922847,0.019697945,0.016233933,NaN,1.427029573,NaN,0.013641479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.019404466,0.020337499,735207.6688,0.004249804,0.019042909,viirs,0.016521083,0.002360927,0.598074161,0.012811991,0.004246539,0.686042791,0.018513853,0.013735623,35.21223647,0.029870964,0.013074615,0.034165217,0.01709049,0.007720205,0.001498959,8.41E-05,0.019013873,0.013705744,0.621656537,0.069527239,0.065790705,101940.5313,-18.5,-25.625,735207.5833,0.153893127,0.316436537,0.880690195,0.790702533,0.666666667,0.015258711,0.01191418,0.812991457,0.669056109,0.905607889,0.819856257,0.897730096,0.816065138,1.22120064,1.218999149,0.023058723,0.020794334
6901439,735208.5701,-18.69200667,-25.641415,0.026035347,0.019347329,0.022416092,1132.632517,19.85809203,0.050357305,0.021638415,0.018120132,NaN,0.486333384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,735208.6521,0.004249804,NaN,viirs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.57441089,NaN,NaN,0.112345452,NaN,NaN,NaN,NaN,NaN,NaN,0.638912797,0.074500665,0.070811696,101761.9688,-18.5,-25.625,735208.5833,0.153875303,0.315882256,0.882861869,0.790284296,0.666666667,0.08535962,0.078457077,0.75951695,0.635456334,0.891899897,0.808640109,0.851571968,0.785833311,1.156806961,1.159909736,NaN,NaN
